file,path,md5sum,type,script,run_at
DEseq2_AM133_v_AMScr.tsv,C:/Users/shahr/OneDrive - University of East Anglia/Desktop/PhD/RStudio/ChickEmbryo_ATAC_RNA/data/raw/atac/deseq2/DEseq2_AM133_v_AMScr.tsv,9dd1ed92866b3bf293f8e56409d56fbe,input,Script0_ATAC_direction_correction,2026-05-29 04:29:59
DEseq2_AMAll_v_AMScr.tsv,C:/Users/shahr/OneDrive - University of East Anglia/Desktop/PhD/RStudio/ChickEmbryo_ATAC_RNA/data/raw/atac/deseq2/DEseq2_AMAll_v_AMScr.tsv,2110c5fc2db13347177af856518207ef,input,Script0_ATAC_direction_correction,2026-05-29 04:29:59
DEseq2_AM1_206_v_AMScr.tsv,C:/Users/shahr/OneDrive - University of East Anglia/Desktop/PhD/RStudio/ChickEmbryo_ATAC_RNA/data/raw/atac/deseq2/DEseq2_AM1_206_v_AMScr.tsv,2a2141733a478f33485d04435c3ae91f,input,Script0_ATAC_direction_correction,2026-05-29 04:29:59
DEseq2_AM1_206_v_AM133.tsv,C:/Users/shahr/OneDrive - University of East Anglia/Desktop/PhD/RStudio/ChickEmbryo_ATAC_RNA/data/raw/atac/deseq2/DEseq2_AM1_206_v_AM133.tsv,a9523322f962947f8aecdf2151e2ec26,input,Script0_ATAC_direction_correction,2026-05-29 04:29:59
DEseq2_AM133_v_AMAll.tsv,C:/Users/shahr/OneDrive - University of East Anglia/Desktop/PhD/RStudio/ChickEmbryo_ATAC_RNA/data/raw/atac/deseq2/DEseq2_AM133_v_AMAll.tsv,02762ddc551bedd6ee6667645461a592,input,Script0_ATAC_direction_correction,2026-05-29 04:29:59
DEseq2_AM1_206_v_AMAll.tsv,C:/Users/shahr/OneDrive - University of East Anglia/Desktop/PhD/RStudio/ChickEmbryo_ATAC_RNA/data/raw/atac/deseq2/DEseq2_AM1_206_v_AMAll.tsv,9245870fc600ff81b83c0354ac77f62e,input,Script0_ATAC_direction_correction,2026-05-29 04:29:59
AM133_vs_AMScr_atac.tsv,C:/Users/shahr/OneDrive - University of East Anglia/Desktop/PhD/RStudio/ChickEmbryo_ATAC_RNA/data/processed/atac/deseq2/AM133_vs_AMScr_atac.tsv,ceb79fdef180adbaae6986c3bbdbd2f0,output_full,Script0_ATAC_direction_correction,2026-05-29 04:29:59
AMAll_vs_AMScr_atac.tsv,C:/Users/shahr/OneDrive - University of East Anglia/Desktop/PhD/RStudio/ChickEmbryo_ATAC_RNA/data/processed/atac/deseq2/AMAll_vs_AMScr_atac.tsv,186ddb0c36e57eb9f906d2fd34fe7a53,output_full,Script0_ATAC_direction_correction,2026-05-29 04:29:59
AM1_206_vs_AMScr_atac.tsv,C:/Users/shahr/OneDrive - University of East Anglia/Desktop/PhD/RStudio/ChickEmbryo_ATAC_RNA/data/processed/atac/deseq2/AM1_206_vs_AMScr_atac.tsv,2d0bc7f73df5eee92748cd0a2d94fa9d,output_full,Script0_ATAC_direction_correction,2026-05-29 04:29:59
AM133_vs_AM1_206_atac.tsv,C:/Users/shahr/OneDrive - University of East Anglia/Desktop/PhD/RStudio/ChickEmbryo_ATAC_RNA/data/processed/atac/deseq2/AM133_vs_AM1_206_atac.tsv,057e74493de10db6a766a4d6a33bf785,output_full,Script0_ATAC_direction_correction,2026-05-29 04:29:59
AM133_vs_AMAll_atac.tsv,C:/Users/shahr/OneDrive - University of East Anglia/Desktop/PhD/RStudio/ChickEmbryo_ATAC_RNA/data/processed/atac/deseq2/AM133_vs_AMAll_atac.tsv,98196bdbf1e1dc7a8b4510fee3be8354,output_full,Script0_ATAC_direction_correction,2026-05-29 04:29:59
