file,path,md5sum,type,script,run_at
AM133_vs_AMScr_atac.tsv,C:/Users/shahr/OneDrive - University of East Anglia/Desktop/PhD/RStudio/ChickEmbryo_ATAC_RNA/data/processed/atac/deseq2/AM133_vs_AMScr_atac.tsv,ceb79fdef180adbaae6986c3bbdbd2f0,input,Script1_ATAC_annotation,2026-05-30 13:41:10
AMAll_vs_AMScr_atac.tsv,C:/Users/shahr/OneDrive - University of East Anglia/Desktop/PhD/RStudio/ChickEmbryo_ATAC_RNA/data/processed/atac/deseq2/AMAll_vs_AMScr_atac.tsv,186ddb0c36e57eb9f906d2fd34fe7a53,input,Script1_ATAC_annotation,2026-05-30 13:41:10
AM1_206_vs_AMScr_atac.tsv,C:/Users/shahr/OneDrive - University of East Anglia/Desktop/PhD/RStudio/ChickEmbryo_ATAC_RNA/data/processed/atac/deseq2/AM1_206_vs_AMScr_atac.tsv,2d0bc7f73df5eee92748cd0a2d94fa9d,input,Script1_ATAC_annotation,2026-05-30 13:41:10
AM133_vs_AM1_206_atac.tsv,C:/Users/shahr/OneDrive - University of East Anglia/Desktop/PhD/RStudio/ChickEmbryo_ATAC_RNA/data/processed/atac/deseq2/AM133_vs_AM1_206_atac.tsv,057e74493de10db6a766a4d6a33bf785,input,Script1_ATAC_annotation,2026-05-30 13:41:10
AM133_vs_AMAll_atac.tsv,C:/Users/shahr/OneDrive - University of East Anglia/Desktop/PhD/RStudio/ChickEmbryo_ATAC_RNA/data/processed/atac/deseq2/AM133_vs_AMAll_atac.tsv,98196bdbf1e1dc7a8b4510fee3be8354,input,Script1_ATAC_annotation,2026-05-30 13:41:10
AM1_206_vs_AMAll_atac.tsv,C:/Users/shahr/OneDrive - University of East Anglia/Desktop/PhD/RStudio/ChickEmbryo_ATAC_RNA/data/processed/atac/deseq2/AM1_206_vs_AMAll_atac.tsv,27123fe25f93c83ed06c88cc47595575,input,Script1_ATAC_annotation,2026-05-30 13:41:10
AM133_vs_AMScr_annotated.tsv,C:/Users/shahr/OneDrive - University of East Anglia/Desktop/PhD/RStudio/ChickEmbryo_ATAC_RNA/results/Script1_annotation/annotated/AM133_vs_AMScr_annotated.tsv,515a44459f628e36d2ee9f7ad6c0e14d,output,Script1_ATAC_annotation,2026-05-30 13:41:10
AMAll_vs_AMScr_annotated.tsv,C:/Users/shahr/OneDrive - University of East Anglia/Desktop/PhD/RStudio/ChickEmbryo_ATAC_RNA/results/Script1_annotation/annotated/AMAll_vs_AMScr_annotated.tsv,4d25da820962853b995c0894eaeb6e45,output,Script1_ATAC_annotation,2026-05-30 13:41:10
AM1_206_vs_AMScr_annotated.tsv,C:/Users/shahr/OneDrive - University of East Anglia/Desktop/PhD/RStudio/ChickEmbryo_ATAC_RNA/results/Script1_annotation/annotated/AM1_206_vs_AMScr_annotated.tsv,6f9fa9fefa04d9f06a373c49f62eb898,output,Script1_ATAC_annotation,2026-05-30 13:41:10
AM133_vs_AM1_206_annotated.tsv,C:/Users/shahr/OneDrive - University of East Anglia/Desktop/PhD/RStudio/ChickEmbryo_ATAC_RNA/results/Script1_annotation/annotated/AM133_vs_AM1_206_annotated.tsv,09c4b2864ec383cad74fa64da9f5da68,output,Script1_ATAC_annotation,2026-05-30 13:41:10
AM133_vs_AMAll_annotated.tsv,C:/Users/shahr/OneDrive - University of East Anglia/Desktop/PhD/RStudio/ChickEmbryo_ATAC_RNA/results/Script1_annotation/annotated/AM133_vs_AMAll_annotated.tsv,d69b2e91ee10dd68c1dffe8c140cee54,output,Script1_ATAC_annotation,2026-05-30 13:41:10
AM1_206_vs_AMAll_annotated.tsv,C:/Users/shahr/OneDrive - University of East Anglia/Desktop/PhD/RStudio/ChickEmbryo_ATAC_RNA/results/Script1_annotation/annotated/AM1_206_vs_AMAll_annotated.tsv,7740d512a74c0d1b5cc0b15dabbf1ba6,output,Script1_ATAC_annotation,2026-05-30 13:41:10
